title,paragraph,links,label
"Mexican LA: History, culture and resistance | Arts and Culture News ...",in SA.,https://www.aljazeera.com/opinions/2021/3/4/south-african-women-are-taking-a-stand-against-rape-culture,culture
Why Hong Kong has a culture of protest | Asia Pacific News | Al ...,"Aug 5, 2017 ... Los Angeles continues to serve as a representative of Mexican",https://www.aljazeera.com/features/2017/8/5/mexican-la-history-culture-and-resistance,culture
"German, Austrian cultural groups denounce anti-BDS resolution ..."," and 
heritage in a “hidden gem” known as the Campo.",https://www.aljazeera.com/features/2017/8/5/mexican-la-history-culture-and-resistance,culture
Sadyr Japarov: Kyrgyzstan needs to change 'political culture ...,"Oct 1, 2017 ... Why Hong Kong has a",https://www.aljazeera.com/features/2017/10/1/why-hong-kong-has-a-culture-of-protest,culture
The Black women redefining surf culture | Athletics News | Al Jazeera," of protest. The Chinese-governed territory has 
witnessed bouts of protests in past decades amid Beijing's growing ...",https://www.aljazeera.com/features/2017/10/1/why-hong-kong-has-a-culture-of-protest,culture
US gun culture: Legal loopholes and political apathy | Gun Violence ...,"Dec 11, 2020 ... Dozens of leading German and Austrian cultural institutions have denounced an 
anti-Israel boycott resolution in the German parliament, saying ...",https://www.aljazeera.com/news/2020/12/11/german-austrian-cultural-groups-denounce-anti-bds-resolution,culture
What the 'cancel culture' zealots get wrong about Twitter | Media ...,"Oct 20, 2020 ... Sadyr Japarov: Kyrgyzstan needs to change 'political",https://www.aljazeera.com/news/2020/12/11/german-austrian-cultural-groups-denounce-anti-bds-resolution,culture
Protesting North Macedonia cultural workers make breakthrough ...,". Kyrgyzstan's acting 
president and prime minister discusses plan moving forward ...",https://www.aljazeera.com/program/talk-to-al-jazeera/2020/10/20/sadyr-japarov-kyrgyzstan-needs-to-change-political-culture,culture
In Pictures: Iran's booming consumer culture | Middle East News | Al ...,"Nov 20, 2020 ... The Black women redefining surf",https://www.aljazeera.com/program/talk-to-al-jazeera/2020/10/20/sadyr-japarov-kyrgyzstan-needs-to-change-political-culture,culture
"On the sidelines of Mosul, the battle for Kurdish culture | Arts and ...","Nov 21, 2016 ... But we have to fight to save what is left of our",https://www.aljazeera.com/features/2016/11/21/on-the-sidelines-of-mosul-the-battle-for-kurdish-culture,culture
Ending India's rape culture | Europe News | Al Jazeera,". If we lose that, we have lost 
everything.” So I was told by legendary Iranian-Kurdish folk ...",https://www.aljazeera.com/features/2016/11/21/on-the-sidelines-of-mosul-the-battle-for-kurdish-culture,culture
Olympics brings focus on South Korea's dog-meat culture | Arts and ...,"Jan 3, 2013 ... Ending India's rape",https://www.aljazeera.com/opinions/2013/1/3/ending-indias-rape-culture,culture
Brazil's Bolsonaro fires culture chief over Nazi-linked comments ...,". Women and men who support freedom of movement 
and safety from sex crimes are being forced to “refight that battle ...",https://www.aljazeera.com/opinions/2013/1/3/ending-indias-rape-culture,culture
The Gullah Geechee's fight against 'cultural genocide' | Civil Rights ...,"Mar 2, 2018 ... Calls increase to end sale of dog meat in South Korea and for the country to part 
with ",https://www.aljazeera.com/features/2018/3/2/olympics-brings-focus-on-south-koreas-dog-meat-culture,culture
Blood generation': Artist Taloi Havini on Bougainville's pain | Arts ...,and tradition.,https://www.aljazeera.com/features/2018/3/2/olympics-brings-focus-on-south-koreas-dog-meat-culture,culture
Reviving the art of cinema in Gaza City | Arts and Culture News | Al ...,"Jan 18, 2020 ... Outrage erupts after Culture Secretary Roberto Alvim made remarks similar to 
Nazi propagandist Joseph Goebbels.",https://www.aljazeera.com/news/2020/1/18/brazils-bolsonaro-fires-culture-chief-over-nazi-linked-comments,culture
Exploring the influence of Muslim culture on the West | Arts and ...,"Sep 4, 2015 ... How some descendants of slaves are challenging the assumption their African 
",https://www.aljazeera.com/news/2020/1/18/brazils-bolsonaro-fires-culture-chief-over-nazi-linked-comments,culture
Day of the Dead: A unique understanding of death | Arts and Culture ...,was lost during the slave trade.,https://www.aljazeera.com/features/2015/9/4/the-gullah-geechees-fight-against-cultural-genocide,culture
De Maiziere criticised over 'dominant culture' comments | Germany ...,"Dec 31, 2020 ... In accordance with her",https://www.aljazeera.com/features/2015/9/4/the-gullah-geechees-fight-against-cultural-genocide,culture
"Drug Trafficking, Politics and Power: The Age of Drug Lords ...",... Age of Drug Lords. How global drug lords changed the face of,https://www.aljazeera.com/program/featured-documentaries/2021/1/21/drug-trafficking-politics-and-power-the-age-of-drug-lords,politics
"Drug Trafficking, Politics and Power: The Lost Territories | Business ..."," as their 
influence and control expanded. Read more. 21 Jan 2021. More episodes from.",https://www.aljazeera.com/program/featured-documentaries/2021/1/21/drug-trafficking-politics-and-power-the-age-of-drug-lords,politics
"Drug Trafficking, Politics and Power: The Era of Empires | Drugs ...","Jan 25, 2021 ... Drug Trafficking, Politics and Power: The Lost Territories. From designer drugs to 
conflict zones, a look at how the modern drug trade has ...",https://www.aljazeera.com/program/featured-documentaries/2021/1/25/drug-trafficking-politics-and-power-the-lost-territories,politics
Four things to watch in US politics in 2021 | Donald Trump News | Al ...,"Jan 14, 2021 ... From colonial China's opium wars to Cold War US ",https://www.aljazeera.com/program/featured-documentaries/2021/1/25/drug-trafficking-politics-and-power-the-lost-territories,politics
Trump says he will stay in politics amid Republican discord | Donald ...,", we trace rise of global 
drug trade and its political backers.",https://www.aljazeera.com/program/featured-documentaries/2021/1/14/drug-trafficking-politics-and-power-the-era-of-empires,politics
Politics News | Today's latest from Al Jazeera,"Dec 30, 2020 ... The new year in US ",https://www.aljazeera.com/program/featured-documentaries/2021/1/14/drug-trafficking-politics-and-power-the-era-of-empires,politics
Black Lives Matter: Should sports and politics mix? | American ...," promises change, but also the continuation of many 
current political conflicts.",https://www.aljazeera.com/news/2020/12/30/four-things-to-watch-in-us-politics-in-2021,politics
Political cowardice': US reacts to Trump impeachment acquittal ...,"Jan 28, 2021 ... And while the political environment created by Trump, culminating in the storming 
of the US Capitol and the subsequent impeachment of Trump ...",https://www.aljazeera.com/news/2020/12/30/four-things-to-watch-in-us-politics-in-2021,politics
"Trump, coronavirus and the politics of a pandemic | Coronavirus ...","Biden wants sweeping gun control, uphill political battle awaits. Biden wants a 
ban on assault weapons, but even universal background checks face a tough, 
but ...",https://www.aljazeera.com/news/2021/1/28/trump-says-he-will-stay-in-politics-amid-republican,politics
Generation next: How the young are changing Taiwan's politics ...,"Jul 6, 2020 ... Black Lives Matter: Should sports and ",https://www.aljazeera.com/news/2021/1/28/trump-says-he-will-stay-in-politics-amid-republican,politics
"Move over, toxic bosses: Politics has US workers wanting to quit ...","Oct 30, 2020 ... A survey of 3000 workers found 42 percent had considered quitting a job 
because of their co-workers' political views.",https://www.aljazeera.com/news/2020/10/30/move-over-toxic-bosses-politics-has-us-workers-wanting-to-quit,politics
The Politics of Population Control | Gender Equity News | Al Jazeera,"Dec 24, 2018 ... The Politics of Population Control. How Western family planners helped curb the 
birth of girls in developing countries, the effects of which are ...",https://www.aljazeera.com/news/2020/10/30/move-over-toxic-bosses-politics-has-us-workers-wanting-to-quit,politics
How transactional politics will affect journalism | Donald Trump ...,"Mar 10, 2017 ... In the age of transactional",https://www.aljazeera.com/program/featured-documentaries/2018/12/24/the-politics-of-population-control,politics
Politics and pestilence occupy minds at Bangkok Art Biennale | Arts ...,", the survival of journalism is dependent on its 
ability to adapt and innovate.",https://www.aljazeera.com/program/featured-documentaries/2018/12/24/the-politics-of-population-control,politics
The Disunited States: How partisan politics is polarising the US ...,"Nov 23, 2020 ... Politics and pestilence occupy minds at Bangkok Art Biennale. Exhibition, one of 
few to go ahead thanks to COVID-19, explores idea of 'escape' ...",https://www.aljazeera.com/opinions/2017/3/10/how-transactional-politics-will-affect-journalism,politics
Saudi carves path out of US partisan politics with Qatar detente ...,"Aug 2, 2019 ... Americans may be as divided over",https://www.aljazeera.com/opinions/2017/3/10/how-transactional-politics-will-affect-journalism,politics
Lame duck' US Congress bogged down in politics over COVID bill ...," today as they were in the lead up to 
the Civil War of the 1860s. In Washington, DC, hardly a day ...",https://www.aljazeera.com/news/2020/11/23/bangkok-art-biennale,politics
Analysis: The politics behind the Lebanon-Israel border talks | Beirut ...,"Jan 8, 2021 ... The US-Saudi relationship became tied up in US partisan",https://www.aljazeera.com/news/2020/11/23/bangkok-art-biennale,politics
Politics and penguins: The fight to save Antarctica | Climate News ...," on Trump's 
watch. Mending fences with Qatar is one way for Riyadh to signal ...",https://www.aljazeera.com/features/2019/8/2/the-disunited-states-how-partisan-politics-is-polarising-the-us,politics
A new politics is rising in Lebanon | Human Rights News | Al Jazeera,"Nov 17, 2020 ... But rather than removing obstacles to bipartisan compromise, the outcome of this 
election appears to have complicated ",https://www.aljazeera.com/features/2019/8/2/the-disunited-states-how-partisan-politics-is-polarising-the-us,politics
A new threat for Afghan women in politics | Ashraf Ghani News | Al ...,"Nov 17, 2014 ... Targeting Afghan women politicians is a relatively new phenomenon – and 
probably imported from next-",https://www.aljazeera.com/opinions/2014/11/17/a-new-threat-for-afghan-women-in-politics,politics
How will Trump's second impeachment trial affect US politics ...,"Feb 10, 2021 ... How will Trump's second impeachment trial affect US",https://www.aljazeera.com/opinions/2014/11/17/a-new-threat-for-afghan-women-in-politics,politics
Chinese delegation meets Nepal PM amid political crisis | Politics ...,"? Senate has voted 
to go ahead with the trial, rejecting defence lawyers' argument ...",https://www.aljazeera.com/program/inside-story/2021/2/10/how-will-donald-trumps-second-impeachment-affect-us-politics,politics
"Politics of coronavirus: Taiwan, China and WHO | News | Al Jazeera","Dec 28, 2020 ... Senior Chinese Communist Party leader holds talks with PM Oli as the ruling 
communist party on the verge of split.",https://www.aljazeera.com/program/inside-story/2021/2/10/how-will-donald-trumps-second-impeachment-affect-us-politics,politics
Monuments of history or bigotry? The politics of statues | Black Lives ...,"Feb 6, 2020 ... Deadly outbreak lays bare challenges of political situation faced by democratic 
island that China claims as its own.",https://www.aljazeera.com/news/2020/12/28/chinese-delegation-meets-nepal-pm-amid-political-crisis,politics
South Africa's Deadly Politics | Civil Rights News | Al Jazeera,"Jun 13, 2020 ... The",https://www.aljazeera.com/news/2020/12/28/chinese-delegation-meets-nepal-pm-amid-political-crisis,politics
"Super Bowl LV: One for the ages despite COVID, politics | American ..."," of statues. Should historic statues remain standing even if they 
celebrate racism? Plus, the man behind Rwanda's hate media.",https://www.aljazeera.com/news/2020/2/6/politics-of-coronavirus-taiwan-china-and-who,politics
Malaysian politics in turmoil: Is Mahathir-Anwar alliance over ...,"Apr 26, 2020 ... A journalist known for exposing political violence in South Africa reports on the 
unsolved murder of a local politician.",https://www.aljazeera.com/news/2020/2/6/politics-of-coronavirus-taiwan-china-and-who,politics
Indian film star Rajinikanth ends political bid over health fears | India ...,"Feb 5, 2021 ... Super Bowl LV: One for the ages despite COVID,",https://www.aljazeera.com/program/the-listening-post/2020/6/13/monuments-of-history-or-bigotry-the-politics-of-statues,politics
"Thirty years after Taif, Lebanese seek end to sectarian politics ...",". Overcoming a season 
that teetered on collapse, fans of American football are set to ...",https://www.aljazeera.com/program/the-listening-post/2020/6/13/monuments-of-history-or-bigotry-the-politics-of-statues,politics
Ignition of new war:' Sudan political parties reject Israel deal ...,"Oct 24, 2020 ... Sudanese political parties have rejected the government's decision to normalise 
relations with Israel, with officials saying they will form an ...",https://www.aljazeera.com/news/2020/10/24/sudans-political-parties-reject-israeli-normalisation-deal,politics
"Bosnia: 25 years since Dayton Accords, divisive politics live on ...","Nov 20, 2020 ... Bosnia: 25 years since Dayton Accords, divisive",https://www.aljazeera.com/news/2020/10/24/sudans-political-parties-reject-israeli-normalisation-deal,politics
