titles,paragraph,links,label
Inexhibit,"Online portal of women's creative arts and activism from around the globe.

",http://www.inexhibit.com,art
Inutile,"Online magazine of literature, music, film, social justice, and art. 

",http://rivista.inutile.eu/en/,art
Juxtapoz," Magazine as well as a search tool focused on museums, exhibitions and public art.

",http://www.juxtapoz.com/,art
Khipuz," Short stories, articles about music, cinema, graphic novels, tv series and the web, interviews and some reviews. Published in Italy.

",http://www.khipuz.com/,art
KT press,"Online version of well known pop-art magazine.

",http://www.ktpress.co.uk/,art
London Calling,"Peruvian contemporary art magazine. 

",http://londoncalling.com/,art
naked punch review," International feminist art journal. 

",http://www.maineartscene.com/,art
New Yorker,"Providing infomation about the cultural events and venues to be visited in London. 

",http://www.nakedpunch.com/,art
nthposition,"Online Art Magazine covering Maine (US) arts & culture scene. 

",http://www.newyorker.com/,art
On View,"Engaged review of contemporary art and thought. Collaboration of thinkers and artists residing in different cities of the world.

",http://www.nthposition.com/,art
Other Voices,"Premier magazine featuring in-depth reporting on politics and culture, fiction and poetry, book and film reviews, humor and cartoons, more.

",http://www.onviewmagazine.com/index.html,art
Part Press,"Free online magazine with politics & opinion, travel writing, fiction & poetry, reviews & interviews, more. 

",http://www.othervoices.org/,art
PopMatters,"On-line fine art publication, explores the diverse activities surrounding art museums and related organizations across the state of Florida.

",http://www.partpress.com/,art
Ragazine,"Journal of cultural criticism, publishing essays, interviews,  translations and reviews in the arts and humanities. 

",http://popmatters.com/,art
Ralph,"Aiming to represent Iranian art news for a worldwide audience in English.

",http://ragazine.cc/,art
Scene 360,"International magazine of cultural criticism covering music, television, films, books, video games, computer software, theatre, the visual arts, and the Internet.

",http://www.ralphmag.org/,art
Triangle Arts and Entertainment,"Bimonthly magazine published in collaboration with artists, writers, photographers, poets, travelers & others.

",http://www.scene360.com/,art
Universal Colours,"Review of arts, literature, philosophy and the humanities. 

",http://triangleartsandentertainment.org/,art
"Visual Artbeat Magazine, The","Online film and arts magazine, which profiles and interviews artists, web designers, filmmakers, and poets with a focus on their career and analysis of the driving forces behind their work.

",http://www.eu-man.org/universal.htm,art
Works & Days,"Supports the visual and performing arts of central North Carolina with news and reviews of music, dance, movies, and theatre.

",www.visualartbeat.com,art
Art & Antiques,"Quarterly magazine published by European Union Migrant Artists Network focusing upon the work and experiences of professional migrant artists.

",http://www.works-and-days.com/,art
Art In America,"Contemporary Art Magazine oriented to European and Middle Eastern Art Collectors.

",http://www.tkqlhce.com/click-1039688-10834415?url=http%3A%2F%2Fwww.magazine-agent.com%2Fdirector%3Fpage%3D58%26umc%3D11%26mul%3D11&cjsku=11-11,art
Antiques & Fine Art,"Online quarterly publication that involves ideas about they photography, writing, painting, poetry, film, culinary recipes, illustration, music, dance and other creative medium.

",http://www.dpbolvw.net/click-1039688-10834415?url=http%3A%2F%2Fwww.magazine-agent.com%2Fdirector%3Fpage%3D58%26umc%3D11%26mul%3D11&cjsku=11-11,art
